wallet_id,wallet_kind,user_id,cluster_id,asset,network,risk_seed,created_at
wal_000073,user_wallet,usr_000025,,USDT,TRON,clean,2026-01-01T23:59:00
wal_000074,user_wallet,usr_000025,,BTC,BTC,clean,2025-11-28T21:34:28
wal_000075,user_wallet,usr_000025,,ETH,ETH,clean,2025-11-19T12:08:31
wal_000076,user_wallet,usr_000026,,USDT,TRON,clean,2025-12-02T08:40:40
wal_000077,user_wallet,usr_000026,,BTC,BTC,clean,2025-11-29T12:43:06
wal_000078,user_wallet,usr_000026,,ETH,ETH,clean,2025-11-20T17:33:33
wal_000079,user_wallet,usr_000027,,USDT,TRON,clean,2025-12-17T10:11:50
wal_000080,user_wallet,usr_000027,,BTC,BTC,clean,2025-11-13T21:29:20
wal_000081,user_wallet,usr_000027,,ETH,ETH,clean,2025-11-18T20:35:40
wal_000082,user_wallet,usr_000028,,USDT,TRON,clean,2026-01-01T23:59:00
wal_000083,user_wallet,usr_000028,,BTC,BTC,clean,2025-12-14T18:40:19
wal_000084,user_wallet,usr_000028,,ETH,ETH,clean,2025-11-17T12:15:57
wal_000085,user_wallet,usr_000029,,USDT,TRON,clean,2025-12-10T15:58:31
wal_000086,user_wallet,usr_000029,,BTC,BTC,clean,2025-12-18T10:45:57
wal_000087,user_wallet,usr_000029,,ETH,ETH,clean,2025-12-24T15:35:58
wal_000088,user_wallet,usr_000030,,USDT,TRON,clean,2025-12-27T13:43:13
wal_000089,user_wallet,usr_000030,,BTC,BTC,clean,2025-12-16T23:56:23
wal_000090,user_wallet,usr_000030,,ETH,ETH,clean,2025-12-14T12:15:40
wal_000091,user_wallet,usr_000031,,USDT,TRON,clean,2025-11-21T13:41:55
wal_000092,user_wallet,usr_000031,,BTC,BTC,clean,2025-12-19T11:39:52
wal_000093,user_wallet,usr_000031,,ETH,ETH,clean,2025-11-14T22:26:30
wal_000094,user_wallet,usr_000032,,USDT,TRON,clean,2025-11-09T10:06:08
wal_000095,user_wallet,usr_000032,,BTC,BTC,clean,2025-12-30T11:39:46
wal_000096,user_wallet,usr_000032,,ETH,ETH,clean,2025-11-04T16:21:42
wal_000097,user_wallet,usr_000033,,USDT,TRON,clean,2025-11-20T11:53:52
wal_000098,user_wallet,usr_000033,,BTC,BTC,clean,2025-12-09T17:23:22
wal_000099,user_wallet,usr_000033,,ETH,ETH,clean,2025-12-18T17:04:51
wal_000100,user_wallet,usr_000034,,USDT,TRON,clean,2025-11-15T20:04:56
wal_000101,user_wallet,usr_000034,,BTC,BTC,clean,2025-12-19T18:09:30
wal_000102,user_wallet,usr_000034,,ETH,ETH,clean,2025-12-31T07:23:39
wal_000103,user_wallet,usr_000035,,USDT,TRON,clean,2025-11-27T04:58:49
wal_000104,user_wallet,usr_000035,,BTC,BTC,clean,2025-12-12T14:57:50
wal_000105,user_wallet,usr_000035,,ETH,ETH,clean,2025-11-21T13:28:37
wal_000106,user_wallet,usr_000036,,USDT,TRON,clean,2025-11-14T14:28:06
wal_000107,user_wallet,usr_000036,,BTC,BTC,clean,2025-11-17T08:21:05
wal_000108,user_wallet,usr_000036,,ETH,ETH,clean,2025-11-05T20:23:33
wal_000109,user_wallet,usr_000037,,USDT,TRON,clean,2025-12-14T19:38:25
wal_000110,user_wallet,usr_000037,,BTC,BTC,clean,2025-11-12T21:59:16
wal_000111,user_wallet,usr_000037,,ETH,ETH,clean,2025-12-25T14:27:52
wal_000112,user_wallet,usr_000038,,USDT,TRON,clean,2025-12-03T18:58:16
wal_000113,user_wallet,usr_000038,,BTC,BTC,clean,2025-11-04T09:37:15
wal_000114,user_wallet,usr_000038,,ETH,ETH,clean,2025-12-06T22:04:52
wal_000115,user_wallet,usr_000039,,USDT,TRON,clean,2025-11-15T22:42:37
wal_000116,user_wallet,usr_000039,,BTC,BTC,clean,2025-12-10T15:58:07
wal_000117,user_wallet,usr_000039,,ETH,ETH,clean,2025-12-11T11:04:45
wal_000118,user_wallet,usr_000040,,USDT,TRON,clean,2025-12-29T07:05:28
wal_000119,user_wallet,usr_000040,,BTC,BTC,clean,2026-01-01T23:59:00
wal_000120,user_wallet,usr_000040,,ETH,ETH,clean,2025-12-04T07:34:59
wal_000121,user_wallet,usr_000041,,USDT,TRON,clean,2025-11-11T17:25:37
wal_000122,user_wallet,usr_000041,,BTC,BTC,clean,2026-01-01T03:42:40
wal_000123,user_wallet,usr_000041,,ETH,ETH,clean,2025-11-05T15:22:14
wal_000124,user_wallet,usr_000042,,USDT,TRON,clean,2025-11-26T12:46:16
wal_000125,user_wallet,usr_000042,,BTC,BTC,clean,2025-12-31T11:17:28
wal_000126,user_wallet,usr_000042,,ETH,ETH,clean,2025-12-04T11:28:00
wal_000127,user_wallet,usr_000043,,USDT,TRON,clean,2025-11-27T17:33:28
wal_000128,user_wallet,usr_000043,,BTC,BTC,clean,2025-12-10T14:01:39
wal_000129,user_wallet,usr_000043,,ETH,ETH,clean,2025-12-25T09:04:13
wal_000130,user_wallet,usr_000044,,USDT,TRON,clean,2025-11-23T23:01:58
wal_000131,user_wallet,usr_000044,,BTC,BTC,clean,2025-11-12T13:48:19
wal_000132,user_wallet,usr_000044,,ETH,ETH,clean,2025-12-03T07:39:06
wal_000133,user_wallet,usr_000045,,USDT,TRON,clean,2025-12-11T22:51:58
wal_000134,user_wallet,usr_000045,,BTC,BTC,clean,2025-11-17T22:25:44
wal_000135,user_wallet,usr_000045,,ETH,ETH,clean,2025-12-11T13:59:32
wal_000136,user_wallet,usr_000046,,USDT,TRON,clean,2025-12-10T10:00:03
wal_000137,user_wallet,usr_000046,,BTC,BTC,clean,2025-11-03T16:36:19
wal_000138,user_wallet,usr_000046,,ETH,ETH,clean,2025-12-23T09:11:03
wal_000139,user_wallet,usr_000047,,USDT,TRON,clean,2025-11-20T10:40:21
wal_000140,user_wallet,usr_000047,,BTC,BTC,clean,2025-12-10T12:59:03
wal_000141,user_wallet,usr_000047,,ETH,ETH,clean,2025-11-02T23:27:10
wal_000142,user_wallet,usr_000048,,USDT,TRON,clean,2025-12-05T11:00:48
wal_000143,user_wallet,usr_000048,,BTC,BTC,clean,2025-12-29T00:06:30
wal_000144,user_wallet,usr_000048,,ETH,ETH,clean,2025-12-09T14:30:45
wal_000145,user_wallet,usr_000049,,USDT,TRON,clean,2025-12-07T17:40:10
wal_000146,user_wallet,usr_000049,,BTC,BTC,clean,2025-11-25T04:11:19
wal_000147,user_wallet,usr_000049,,ETH,ETH,clean,2025-11-10T08:32:20
wal_000148,user_wallet,usr_000050,,USDT,TRON,clean,2025-12-06T16:46:31
wal_000149,user_wallet,usr_000050,,BTC,BTC,clean,2025-12-15T00:28:28
wal_000150,user_wallet,usr_000050,,ETH,ETH,clean,2025-12-29T19:15:42
wal_000151,user_wallet,usr_000051,,USDT,TRON,clean,2025-12-29T17:14:56
wal_000152,user_wallet,usr_000051,,BTC,BTC,clean,2025-11-21T07:32:04
wal_000153,user_wallet,usr_000051,,ETH,ETH,clean,2025-12-17T21:30:32
wal_000154,user_wallet,usr_000052,,USDT,TRON,clean,2025-12-11T14:37:33
wal_000155,user_wallet,usr_000052,,BTC,BTC,clean,2025-12-04T23:38:03
wal_000156,user_wallet,usr_000052,,ETH,ETH,clean,2025-11-21T02:30:37
wal_000157,user_wallet,usr_000053,,USDT,TRON,clean,2025-12-30T22:13:11
wal_000158,user_wallet,usr_000053,,BTC,BTC,clean,2025-12-05T18:45:36
wal_000159,user_wallet,usr_000053,,ETH,ETH,clean,2025-12-07T19:09:07
wal_000160,user_wallet,usr_000054,,USDT,TRON,clean,2025-11-05T19:57:35
wal_000161,user_wallet,usr_000054,,BTC,BTC,clean,2025-11-20T23:15:41
wal_000162,user_wallet,usr_000054,,ETH,ETH,clean,2026-01-01T07:50:30
wal_000163,user_wallet,usr_000055,,USDT,TRON,clean,2025-12-09T15:30:02
wal_000164,user_wallet,usr_000055,,BTC,BTC,clean,2025-12-05T13:49:35
wal_000165,user_wallet,usr_000055,,ETH,ETH,clean,2025-12-20T14:35:12
wal_000166,user_wallet,usr_000056,,USDT,TRON,clean,2025-11-17T07:08:27
wal_000167,user_wallet,usr_000056,,BTC,BTC,clean,2025-12-28T20:29:54
wal_000168,user_wallet,usr_000056,,ETH,ETH,clean,2026-01-01T23:59:00
wal_000169,user_wallet,usr_000057,,USDT,TRON,clean,2025-11-19T10:08:27
wal_000170,user_wallet,usr_000057,,BTC,BTC,clean,2025-11-19T08:38:30
wal_000171,user_wallet,usr_000057,,ETH,ETH,clean,2025-11-23T11:28:03
wal_000172,user_wallet,usr_000058,,USDT,TRON,clean,2025-11-19T07:31:33
wal_000173,user_wallet,usr_000058,,BTC,BTC,clean,2025-12-13T04:11:10
wal_000174,user_wallet,usr_000058,,ETH,ETH,clean,2025-12-16T14:15:05
wal_000175,user_wallet,usr_000059,,USDT,TRON,clean,2025-12-16T23:05:56
wal_000176,user_wallet,usr_000059,,BTC,BTC,clean,2025-12-04T13:35:45
wal_000177,user_wallet,usr_000059,,ETH,ETH,clean,2025-11-22T19:51:41
wal_000178,user_wallet,usr_000060,,USDT,TRON,clean,2025-11-04T21:12:37
wal_000179,user_wallet,usr_000060,,BTC,BTC,clean,2025-12-07T16:16:57
wal_000180,user_wallet,usr_000060,,ETH,ETH,clean,2025-11-21T04:12:35
wal_000181,user_wallet,usr_000061,,USDT,TRON,clean,2025-11-21T23:38:06
wal_000182,user_wallet,usr_000061,,BTC,BTC,clean,2025-12-28T11:06:29
wal_000183,user_wallet,usr_000061,,ETH,ETH,clean,2025-12-21T14:06:38
wal_000184,user_wallet,usr_000062,,USDT,TRON,clean,2025-11-10T15:03:59
wal_000185,user_wallet,usr_000062,,BTC,BTC,clean,2025-11-24T22:43:23
wal_000186,user_wallet,usr_000062,,ETH,ETH,clean,2025-12-13T08:42:48
wal_000187,user_wallet,usr_000063,,USDT,TRON,clean,2025-12-06T15:58:06
wal_000188,user_wallet,usr_000063,,BTC,BTC,clean,2026-01-01T23:59:00
wal_000189,user_wallet,usr_000063,,ETH,ETH,clean,2025-12-11T12:34:22
wal_000190,user_wallet,usr_000064,,USDT,TRON,clean,2025-11-18T08:30:32
wal_000191,user_wallet,usr_000064,,BTC,BTC,clean,2025-11-19T19:45:56
wal_000192,user_wallet,usr_000064,,ETH,ETH,clean,2026-01-01T23:59:00
wal_000193,user_wallet,usr_000065,,USDT,TRON,clean,2025-12-13T21:53:43
wal_000194,user_wallet,usr_000065,,BTC,BTC,clean,2025-11-04T11:40:48
wal_000195,user_wallet,usr_000065,,ETH,ETH,clean,2026-01-01T23:59:00
wal_000196,user_wallet,usr_000066,,USDT,TRON,clean,2025-12-23T08:29:23
wal_000197,user_wallet,usr_000066,,BTC,BTC,clean,2025-11-24T11:16:29
wal_000198,user_wallet,usr_000066,,ETH,ETH,clean,2025-12-01T23:38:08
wal_000199,user_wallet,usr_000067,,USDT,TRON,clean,2025-12-07T16:37:56
wal_000200,user_wallet,usr_000067,,BTC,BTC,clean,2025-11-22T14:44:30
wal_000201,user_wallet,usr_000067,,ETH,ETH,clean,2025-11-12T18:24:35
wal_000202,user_wallet,usr_000068,,USDT,TRON,clean,2025-11-10T10:10:00
wal_000203,user_wallet,usr_000068,,BTC,BTC,clean,2025-11-05T08:39:18
wal_000204,user_wallet,usr_000068,,ETH,ETH,clean,2025-12-06T08:08:42
wal_000205,user_wallet,usr_000069,,USDT,TRON,clean,2025-12-31T19:14:54
wal_000206,user_wallet,usr_000069,,BTC,BTC,clean,2025-11-10T10:31:22
wal_000207,user_wallet,usr_000069,,ETH,ETH,clean,2025-12-26T00:15:23
wal_000208,user_wallet,usr_000070,,USDT,TRON,clean,2025-12-07T21:53:58
wal_000209,user_wallet,usr_000070,,BTC,BTC,clean,2025-11-27T17:56:57
wal_000210,user_wallet,usr_000070,,ETH,ETH,clean,2025-11-04T16:25:59
wal_000211,user_wallet,usr_000071,,USDT,TRON,clean,2025-12-13T12:29:12
wal_000212,user_wallet,usr_000071,,BTC,BTC,clean,2025-11-10T21:08:27
wal_000213,user_wallet,usr_000071,,ETH,ETH,clean,2025-12-28T18:18:09
wal_000214,user_wallet,usr_000072,,USDT,TRON,clean,2025-11-14T17:15:56
wal_000215,user_wallet,usr_000072,,BTC,BTC,clean,2025-11-10T20:29:11
wal_000216,user_wallet,usr_000072,,ETH,ETH,clean,2025-12-28T11:23:34
wal_000217,user_wallet,usr_000073,,USDT,TRON,clean,2025-12-08T21:21:50
wal_000218,user_wallet,usr_000073,,BTC,BTC,clean,2025-12-01T16:57:46
wal_000219,user_wallet,usr_000073,,ETH,ETH,clean,2025-12-23T02:12:23
wal_000220,user_wallet,usr_000074,,USDT,TRON,clean,2025-12-08T13:54:28
wal_000221,user_wallet,usr_000074,,BTC,BTC,clean,2025-11-13T08:00:29
wal_000222,user_wallet,usr_000074,,ETH,ETH,clean,2025-12-27T01:15:23
wal_000223,user_wallet,usr_000075,,USDT,TRON,clean,2025-12-15T21:33:52
wal_000224,user_wallet,usr_000075,,BTC,BTC,clean,2025-11-24T19:59:07
wal_000225,user_wallet,usr_000075,,ETH,ETH,clean,2025-11-07T15:28:05
wal_000226,user_wallet,usr_000076,,USDT,TRON,clean,2025-11-04T23:44:22
wal_000227,user_wallet,usr_000076,,BTC,BTC,clean,2025-12-24T10:59:34
wal_000228,user_wallet,usr_000076,,ETH,ETH,clean,2025-11-06T09:20:41
wal_000229,user_wallet,usr_000077,,USDT,TRON,clean,2025-12-05T23:05:31
wal_000230,user_wallet,usr_000077,,BTC,BTC,clean,2025-11-12T19:07:12
wal_000231,user_wallet,usr_000077,,ETH,ETH,clean,2025-11-26T13:45:09
wal_000232,user_wallet,usr_000078,,USDT,TRON,clean,2025-12-05T12:00:18
wal_000233,user_wallet,usr_000078,,BTC,BTC,clean,2025-11-25T23:44:53
wal_000234,user_wallet,usr_000078,,ETH,ETH,clean,2025-12-29T19:50:22
wal_000235,user_wallet,usr_000079,,USDT,TRON,clean,2025-11-08T07:09:25
wal_000236,user_wallet,usr_000079,,BTC,BTC,clean,2025-11-08T17:52:35
wal_000237,user_wallet,usr_000079,,ETH,ETH,clean,2025-11-16T22:43:35
wal_000238,user_wallet,usr_000080,,USDT,TRON,clean,2025-12-30T18:40:06
wal_000239,user_wallet,usr_000080,,BTC,BTC,clean,2025-12-20T13:09:22
wal_000240,user_wallet,usr_000080,,ETH,ETH,clean,2025-12-07T04:09:45
wal_000241,user_wallet,usr_000081,,USDT,TRON,clean,2025-11-22T07:14:49
wal_000242,user_wallet,usr_000081,,BTC,BTC,clean,2025-11-26T07:32:50
wal_000243,user_wallet,usr_000081,,ETH,ETH,clean,2025-11-20T19:36:53
wal_000244,user_wallet,usr_000082,,USDT,TRON,clean,2025-12-27T11:08:46
wal_000245,user_wallet,usr_000082,,BTC,BTC,clean,2025-12-14T09:04:12
wal_000246,user_wallet,usr_000082,,ETH,ETH,clean,2025-12-08T16:27:57
wal_000247,user_wallet,usr_000083,,USDT,TRON,clean,2025-12-21T17:24:17
wal_000248,user_wallet,usr_000083,,BTC,BTC,clean,2025-11-20T14:51:58
wal_000249,user_wallet,usr_000083,,ETH,ETH,clean,2025-11-20T16:03:00
wal_000250,user_wallet,usr_000084,,USDT,TRON,clean,2025-11-26T04:27:39
wal_000251,user_wallet,usr_000084,,BTC,BTC,clean,2025-11-13T03:05:07
wal_000252,user_wallet,usr_000084,,ETH,ETH,clean,2025-12-28T16:22:08
wal_000253,user_wallet,usr_000085,,USDT,TRON,clean,2025-12-10T17:38:15
wal_000254,user_wallet,usr_000085,,BTC,BTC,clean,2025-12-25T20:17:37
wal_000255,user_wallet,usr_000085,,ETH,ETH,clean,2025-11-30T15:56:17
wal_000256,user_wallet,usr_000086,,USDT,TRON,clean,2025-11-06T08:36:03
wal_000257,user_wallet,usr_000086,,BTC,BTC,clean,2025-12-24T09:06:08
wal_000258,user_wallet,usr_000086,,ETH,ETH,clean,2025-12-21T10:21:54
wal_000259,user_wallet,usr_000087,,USDT,TRON,clean,2025-11-18T16:06:01
wal_000260,user_wallet,usr_000087,,BTC,BTC,clean,2025-11-21T14:45:37
wal_000261,user_wallet,usr_000087,,ETH,ETH,clean,2025-11-28T16:43:51
wal_000262,user_wallet,usr_000088,,USDT,TRON,clean,2025-11-12T22:17:27
wal_000263,user_wallet,usr_000088,,BTC,BTC,clean,2025-11-27T14:48:21
wal_000264,user_wallet,usr_000088,,ETH,ETH,clean,2025-12-18T19:12:12
wal_000265,user_wallet,usr_000089,,USDT,TRON,clean,2025-11-25T00:28:54
wal_000266,user_wallet,usr_000089,,BTC,BTC,clean,2025-11-29T10:39:39
wal_000267,user_wallet,usr_000089,,ETH,ETH,clean,2025-11-24T20:15:57
wal_000268,user_wallet,usr_000090,,USDT,TRON,clean,2025-12-23T18:05:29
wal_000269,user_wallet,usr_000090,,BTC,BTC,clean,2025-12-17T08:42:51
wal_000270,user_wallet,usr_000090,,ETH,ETH,clean,2025-11-10T13:03:28
wal_000271,user_wallet,usr_000091,,USDT,TRON,clean,2025-12-18T19:31:15
wal_000272,user_wallet,usr_000091,,BTC,BTC,clean,2025-12-12T15:49:04
wal_000273,user_wallet,usr_000091,,ETH,ETH,clean,2025-12-22T12:05:05
wal_000274,user_wallet,usr_000092,,USDT,TRON,clean,2025-12-11T16:22:11
wal_000275,user_wallet,usr_000092,,BTC,BTC,clean,2025-12-10T17:07:31
wal_000276,user_wallet,usr_000092,,ETH,ETH,clean,2025-11-08T08:57:31
wal_000277,user_wallet,usr_000093,,USDT,TRON,clean,2025-12-21T13:04:39
wal_000278,user_wallet,usr_000093,,BTC,BTC,clean,2025-12-21T19:50:43
wal_000279,user_wallet,usr_000093,,ETH,ETH,clean,2025-11-30T15:44:57
wal_000280,user_wallet,usr_000094,,USDT,TRON,clean,2025-11-16T14:42:46
wal_000281,user_wallet,usr_000094,,BTC,BTC,clean,2025-12-23T10:11:52
wal_000282,user_wallet,usr_000094,,ETH,ETH,clean,2025-12-11T23:48:11
wal_000283,user_wallet,usr_000095,,USDT,TRON,clean,2025-12-30T23:23:34
wal_000284,user_wallet,usr_000095,,BTC,BTC,clean,2025-11-11T22:26:34
wal_000285,user_wallet,usr_000095,,ETH,ETH,clean,2025-12-03T02:57:00
wal_000286,user_wallet,usr_000096,,USDT,TRON,clean,2025-12-12T17:25:47
wal_000287,user_wallet,usr_000096,,BTC,BTC,clean,2025-11-21T18:38:27
wal_000288,user_wallet,usr_000096,,ETH,ETH,clean,2025-12-18T09:42:11
wal_000289,user_wallet,usr_000097,,USDT,TRON,clean,2025-12-06T17:06:00
wal_000290,user_wallet,usr_000097,,BTC,BTC,clean,2025-11-22T13:51:11
wal_000291,user_wallet,usr_000097,,ETH,ETH,clean,2025-11-19T15:57:15
wal_000292,user_wallet,usr_000098,,USDT,TRON,clean,2025-12-04T14:43:50
wal_000293,user_wallet,usr_000098,,BTC,BTC,clean,2025-12-28T01:52:30
wal_000294,user_wallet,usr_000098,,ETH,ETH,clean,2025-11-28T18:32:21
wal_000295,user_wallet,usr_000099,,USDT,TRON,clean,2025-12-19T00:25:57
wal_000296,user_wallet,usr_000099,,BTC,BTC,clean,2025-12-02T11:41:02
wal_000297,user_wallet,usr_000099,,ETH,ETH,clean,2025-11-29T23:23:52
wal_000298,user_wallet,usr_000100,,USDT,TRON,clean,2026-01-01T23:59:00
wal_000299,user_wallet,usr_000100,,BTC,BTC,clean,2025-11-12T13:36:53
wal_000300,user_wallet,usr_000100,,ETH,ETH,clean,2025-11-08T10:13:19
wal_000301,user_wallet,usr_000101,,USDT,TRON,clean,2025-12-28T01:25:08
wal_000302,user_wallet,usr_000101,,BTC,BTC,clean,2026-01-01T23:59:00
wal_000303,user_wallet,usr_000101,,ETH,ETH,clean,2025-12-07T11:01:53
wal_000304,user_wallet,usr_000102,,USDT,TRON,clean,2025-11-02T10:50:23
wal_000305,user_wallet,usr_000102,,BTC,BTC,clean,2025-12-30T07:13:02
wal_000306,user_wallet,usr_000102,,ETH,ETH,clean,2025-12-15T14:48:43
wal_000307,user_wallet,usr_000103,,USDT,TRON,clean,2025-12-30T07:33:30
wal_000308,user_wallet,usr_000103,,BTC,BTC,clean,2025-11-12T16:51:02
wal_000309,user_wallet,usr_000103,,ETH,ETH,clean,2025-11-03T08:27:23
wal_000310,user_wallet,usr_000104,,USDT,TRON,clean,2025-11-22T07:08:18
wal_000311,user_wallet,usr_000104,,BTC,BTC,clean,2025-11-23T19:06:10
wal_000312,user_wallet,usr_000104,,ETH,ETH,clean,2025-12-16T22:03:00
wal_000313,user_wallet,usr_000105,,USDT,TRON,clean,2025-11-22T12:11:37
wal_000314,user_wallet,usr_000105,,BTC,BTC,clean,2025-12-14T16:53:22
wal_000315,user_wallet,usr_000105,,ETH,ETH,clean,2025-11-10T20:06:25
wal_000316,user_wallet,usr_000106,,USDT,TRON,clean,2025-12-09T17:36:29
wal_000317,user_wallet,usr_000106,,BTC,BTC,clean,2025-11-14T17:57:38
wal_000318,user_wallet,usr_000106,,ETH,ETH,clean,2025-11-15T08:31:32
wal_000319,user_wallet,usr_000107,,USDT,TRON,clean,2025-12-02T13:52:35
wal_000320,user_wallet,usr_000107,,BTC,BTC,clean,2025-11-29T16:04:20
wal_000321,user_wallet,usr_000107,,ETH,ETH,clean,2025-11-13T09:26:20
wal_000322,user_wallet,usr_000108,,USDT,TRON,clean,2025-12-12T20:57:21
wal_000323,user_wallet,usr_000108,,BTC,BTC,clean,2025-11-05T15:37:50
