bank_account_id,bank_code,bank_name,country,currency,opened_at,shared_group_id
bank_000030,005,土地銀行,TW,TWD,2025-11-02T22:07:55,
bank_000031,004,臺灣銀行,HK,TWD,2025-12-12T19:44:56,
bank_000032,009,彰化銀行,HK,TWD,2025-08-16T07:19:18,
bank_000033,004,臺灣銀行,TW,TWD,2025-12-21T07:03:44,
bank_000034,008,華南銀行,TW,TWD,2025-10-04T20:10:02,
bank_000035,812,台新銀行,TW,TWD,2025-09-27T11:42:05,
bank_000036,006,合作金庫,TW,TWD,2025-09-27T14:39:17,
bank_000037,006,合作金庫,TW,TWD,2025-11-05T18:56:26,
bank_000038,812,台新銀行,TW,TWD,2025-11-08T18:48:31,
bank_000039,008,華南銀行,TW,TWD,2025-11-22T14:52:15,
bank_000040,013,國泰世華,TW,TWD,2025-08-01T18:59:40,
bank_000041,008,華南銀行,TW,TWD,2025-09-13T13:18:28,
bank_000042,009,彰化銀行,TW,TWD,2025-10-21T22:06:01,
bank_000043,812,台新銀行,TW,TWD,2025-08-31T23:45:41,
bank_000044,006,合作金庫,TW,TWD,2025-10-19T14:05:22,
bank_000045,013,國泰世華,TW,TWD,2025-09-18T17:39:33,
bank_000046,005,土地銀行,TW,TWD,2025-07-18T09:35:04,
bank_000047,812,台新銀行,TW,TWD,2025-12-13T13:01:24,
bank_000048,700,中華郵政,US,TWD,2025-11-19T11:19:13,
bank_000049,006,合作金庫,US,TWD,2025-08-15T15:53:16,
bank_000050,013,國泰世華,TW,TWD,2025-11-04T13:49:19,
bank_000051,006,合作金庫,TW,TWD,2025-10-27T08:47:46,
bank_000052,005,土地銀行,TW,TWD,2025-11-14T12:33:25,
bank_000053,812,台新銀行,TW,TWD,2025-12-06T08:28:10,
bank_000054,006,合作金庫,JP,TWD,2025-08-30T22:09:50,
bank_000055,005,土地銀行,TW,TWD,2025-10-21T10:49:14,
bank_000056,812,台新銀行,TW,TWD,2025-08-19T15:30:16,
bank_000057,006,合作金庫,TW,TWD,2025-12-20T08:28:50,
bank_000058,004,臺灣銀行,TW,TWD,2025-10-05T11:10:05,
bank_000059,008,華南銀行,TW,TWD,2025-09-29T03:43:29,
bank_000060,008,華南銀行,TW,TWD,2025-11-09T19:47:15,
bank_000061,812,台新銀行,TW,TWD,2025-09-23T18:43:13,
bank_000062,009,彰化銀行,TW,TWD,2025-08-21T12:17:30,
bank_000063,006,合作金庫,TW,TWD,2025-09-15T16:32:31,
bank_000064,812,台新銀行,TW,TWD,2025-10-18T07:08:46,
bank_000065,006,合作金庫,TW,TWD,2025-07-12T09:55:58,
bank_000066,009,彰化銀行,TW,TWD,2025-11-22T16:34:11,
bank_000067,700,中華郵政,TW,TWD,2025-10-09T11:27:40,
bank_000068,009,彰化銀行,TW,TWD,2025-09-15T15:51:17,
bank_000069,812,台新銀行,TW,TWD,2025-12-30T20:05:53,
bank_000070,005,土地銀行,TW,TWD,2025-09-07T13:12:23,
bank_000071,004,臺灣銀行,TW,TWD,2025-12-28T16:08:16,
bank_000072,008,華南銀行,TW,TWD,2025-09-25T23:34:52,
bank_000073,006,合作金庫,TW,TWD,2025-12-08T14:41:20,
bank_000074,008,華南銀行,TW,TWD,2025-11-18T12:33:42,
bank_000075,004,臺灣銀行,TW,TWD,2025-07-13T04:01:33,
bank_000076,008,華南銀行,TW,TWD,2025-08-28T18:49:52,
bank_000077,009,彰化銀行,TW,TWD,2025-07-14T22:24:05,
bank_000078,700,中華郵政,TW,TWD,2025-10-19T00:55:49,
bank_000079,009,彰化銀行,TW,TWD,2025-07-26T14:49:44,
bank_000080,004,臺灣銀行,TW,TWD,2025-09-05T01:55:53,
bank_000081,005,土地銀行,TW,TWD,2025-10-12T23:54:58,
bank_000082,700,中華郵政,TW,TWD,2025-09-02T04:45:06,
bank_000083,008,華南銀行,TW,TWD,2025-08-12T14:42:08,
bank_000084,008,華南銀行,TW,TWD,2025-10-19T12:27:19,
bank_000085,812,台新銀行,TW,TWD,2025-12-15T02:09:49,
bank_000086,700,中華郵政,TW,TWD,2025-10-16T22:47:52,
bank_000087,004,臺灣銀行,TW,TWD,2025-11-15T10:52:56,
bank_000088,812,台新銀行,TW,TWD,2025-07-28T16:41:58,
bank_000089,812,台新銀行,TW,TWD,2025-12-14T15:45:24,
bank_000090,008,華南銀行,SG,TWD,2025-07-17T11:41:22,
bank_000091,009,彰化銀行,SG,TWD,2025-09-27T18:06:26,
bank_000092,013,國泰世華,TW,TWD,2025-09-09T15:22:59,
bank_000093,013,國泰世華,TW,TWD,2025-12-24T14:51:02,
bank_000094,013,國泰世華,TW,TWD,2025-10-31T21:59:47,
bank_000095,005,土地銀行,TW,TWD,2025-09-28T11:06:33,
bank_000096,700,中華郵政,TW,TWD,2025-10-13T10:39:22,
bank_000097,700,中華郵政,TW,TWD,2025-08-01T16:04:50,
bank_000098,008,華南銀行,TW,TWD,2025-12-10T12:30:24,
bank_000099,700,中華郵政,TW,TWD,2025-12-09T12:13:43,
bank_000100,009,彰化銀行,TW,TWD,2025-10-24T20:05:37,
bank_000101,812,台新銀行,TW,TWD,2025-12-20T12:05:08,
bank_000102,812,台新銀行,TW,TWD,2025-12-28T09:29:33,
bank_000103,812,台新銀行,TW,TWD,2025-12-13T23:04:43,
bank_000104,004,臺灣銀行,AE,TWD,2025-09-16T12:32:04,
bank_000105,008,華南銀行,TW,TWD,2025-12-21T16:10:13,
bank_000106,009,彰化銀行,TW,TWD,2025-08-03T10:25:30,
bank_000107,700,中華郵政,TW,TWD,2025-10-31T23:15:46,
bank_000108,006,合作金庫,TW,TWD,2025-10-09T16:36:51,
bank_000109,005,土地銀行,TW,TWD,2025-11-28T21:01:57,
bank_000110,700,中華郵政,TW,TWD,2025-09-11T09:57:25,
bank_000111,812,台新銀行,TW,TWD,2025-08-22T08:01:46,
bank_000112,009,彰化銀行,TW,TWD,2025-11-09T17:51:28,
bank_000113,005,土地銀行,TW,TWD,2025-10-29T17:37:04,
bank_000114,700,中華郵政,TW,TWD,2025-08-14T10:05:00,
bank_000115,009,彰化銀行,TW,TWD,2025-10-19T21:44:08,
bank_000116,009,彰化銀行,TW,TWD,2025-07-18T17:09:43,
bank_000117,008,華南銀行,TW,TWD,2025-08-02T11:15:47,
bank_000118,812,台新銀行,TW,TWD,2025-10-31T16:27:47,
bank_000119,008,華南銀行,TW,TWD,2025-12-17T00:30:42,
bank_000120,005,土地銀行,TW,TWD,2025-12-10T23:59:03,
bank_000121,009,彰化銀行,TW,TWD,2025-10-28T17:43:44,
bank_000122,812,台新銀行,TW,TWD,2025-10-30T12:57:50,
bank_000123,013,國泰世華,TW,TWD,2025-09-16T18:09:22,
bank_000124,009,彰化銀行,TW,TWD,2025-11-03T22:42:09,
bank_000125,005,土地銀行,TW,TWD,2025-11-04T19:43:35,
bank_000126,700,中華郵政,TW,TWD,2025-10-07T11:18:22,
bank_000127,005,土地銀行,TW,TWD,2025-08-29T21:47:26,
bank_000128,005,土地銀行,TW,TWD,2025-09-13T11:38:47,
bank_000129,009,彰化銀行,TW,TWD,2025-12-27T20:06:34,
bank_000130,009,彰化銀行,TW,TWD,2025-10-08T21:21:58,
bank_000131,005,土地銀行,TW,TWD,2025-07-24T10:48:27,
bank_000132,005,土地銀行,TW,TWD,2025-08-28T23:30:23,
bank_000133,700,中華郵政,TW,TWD,2025-10-25T16:05:07,
bank_000134,006,合作金庫,TW,TWD,2025-07-21T12:21:12,
bank_000135,812,台新銀行,TW,TWD,2025-11-01T16:31:31,
bank_000136,004,臺灣銀行,TW,TWD,2025-07-13T00:24:28,
bank_000137,005,土地銀行,TW,TWD,2025-12-28T09:07:21,
bank_000138,700,中華郵政,TW,TWD,2025-11-27T14:17:01,
bank_000139,700,中華郵政,TW,TWD,2025-09-25T17:31:06,
bank_000140,812,台新銀行,TW,TWD,2025-10-22T17:04:41,
bank_000141,013,國泰世華,TW,TWD,2025-08-25T13:39:32,
bank_000142,004,臺灣銀行,TW,TWD,2025-09-05T20:29:31,
bank_000143,006,合作金庫,TW,TWD,2025-09-03T07:33:42,
bank_000144,700,中華郵政,TW,TWD,2025-11-03T20:56:50,
bank_000145,005,土地銀行,TW,TWD,2025-11-07T14:59:53,
bank_000146,009,彰化銀行,TW,TWD,2025-11-11T10:38:46,
bank_000147,009,彰化銀行,TW,TWD,2025-08-18T20:51:18,
bank_000148,700,中華郵政,TW,TWD,2025-08-26T17:18:46,
bank_000149,700,中華郵政,TW,TWD,2025-08-10T13:02:08,
bank_000150,700,中華郵政,TW,TWD,2025-09-15T20:39:53,
bank_000151,013,國泰世華,TW,TWD,2025-11-07T19:35:54,
bank_000152,812,台新銀行,TW,TWD,2025-12-25T09:01:18,
bank_000153,005,土地銀行,TW,TWD,2025-09-25T07:29:53,
bank_000154,008,華南銀行,TW,TWD,2025-08-15T14:18:41,
bank_000155,700,中華郵政,TW,TWD,2025-09-22T22:08:22,
bank_000156,004,臺灣銀行,TW,TWD,2025-11-23T07:32:06,
bank_000157,812,台新銀行,TW,TWD,2025-10-30T23:47:38,
bank_000158,004,臺灣銀行,TW,TWD,2025-08-03T08:47:44,
bank_000159,005,土地銀行,US,TWD,2025-09-11T21:56:30,
bank_000160,005,土地銀行,TW,TWD,2026-01-01T10:51:29,
bank_000161,005,土地銀行,TW,TWD,2025-11-25T07:10:40,
bank_000162,009,彰化銀行,TW,TWD,2026-01-01T23:59:00,
bank_000163,812,台新銀行,TW,TWD,2025-11-14T20:01:28,
bank_000164,006,合作金庫,AE,TWD,2025-12-31T16:13:56,
bank_000165,013,國泰世華,AE,TWD,2025-12-18T12:56:19,
bank_000166,005,土地銀行,TW,TWD,2025-10-27T16:00:29,
bank_000167,700,中華郵政,TW,TWD,2025-10-25T21:46:26,
bank_000168,700,中華郵政,TW,TWD,2025-07-17T02:56:18,
bank_000169,700,中華郵政,TW,TWD,2025-09-29T16:56:28,
bank_000170,812,台新銀行,TW,TWD,2025-07-26T22:20:25,
bank_000171,700,中華郵政,TW,TWD,2025-09-25T17:57:07,
bank_000172,008,華南銀行,TW,TWD,2025-08-10T12:50:15,
bank_000173,013,國泰世華,TW,TWD,2025-12-26T02:48:45,
bank_000174,013,國泰世華,TW,TWD,2025-08-23T09:51:45,
bank_000175,009,彰化銀行,TW,TWD,2025-11-08T23:38:13,
bank_000176,812,台新銀行,TW,TWD,2025-07-05T00:54:20,
bank_000177,004,臺灣銀行,TW,TWD,2025-09-28T12:04:49,
bank_000178,005,土地銀行,JP,TWD,2025-07-31T07:37:50,
bank_000179,004,臺灣銀行,US,TWD,2025-09-03T17:35:54,
bank_000180,013,國泰世華,TW,TWD,2025-10-09T12:52:00,
bank_000181,004,臺灣銀行,TW,TWD,2025-12-09T17:34:18,
bank_000182,009,彰化銀行,TW,TWD,2025-08-06T22:56:31,
bank_000183,005,土地銀行,TW,TWD,2025-08-16T17:56:41,
bank_000184,700,中華郵政,TW,TWD,2025-10-17T14:20:17,
bank_000185,812,台新銀行,US,TWD,2025-10-31T11:20:54,
bank_000186,812,台新銀行,JP,TWD,2025-12-15T18:10:06,
bank_000187,004,臺灣銀行,TW,TWD,2025-08-10T17:25:38,
bank_000188,006,合作金庫,GB,TWD,2025-09-13T22:18:42,
bank_000189,006,合作金庫,TW,TWD,2025-09-26T21:31:29,
bank_000190,005,土地銀行,TW,TWD,2025-10-12T21:03:38,
bank_000191,008,華南銀行,TW,TWD,2025-10-08T19:05:01,
bank_000192,006,合作金庫,TW,TWD,2025-09-28T09:54:42,
bank_000193,008,華南銀行,TW,TWD,2025-09-27T12:34:03,
bank_000194,006,合作金庫,TW,TWD,2025-12-07T13:36:28,
bank_000195,700,中華郵政,TW,TWD,2025-10-14T02:24:31,
bank_000196,700,中華郵政,HK,TWD,2025-12-02T14:48:56,
bank_000197,009,彰化銀行,HK,TWD,2025-08-27T03:44:19,
bank_000198,006,合作金庫,TW,TWD,2025-07-25T14:07:17,
bank_000199,008,華南銀行,TW,TWD,2025-10-05T21:39:03,
bank_000200,006,合作金庫,TW,TWD,2025-11-15T23:32:02,
bank_000201,812,台新銀行,TW,TWD,2025-08-17T18:30:42,
bank_000202,013,國泰世華,TW,TWD,2025-10-09T23:47:46,
bank_000203,006,合作金庫,TW,TWD,2025-11-15T22:14:06,
bank_000204,009,彰化銀行,TW,TWD,2025-08-30T14:09:38,
bank_000205,009,彰化銀行,SG,TWD,2025-09-15T19:44:54,
bank_000206,006,合作金庫,AE,TWD,2025-07-19T10:11:03,
bank_000207,812,台新銀行,TW,TWD,2025-09-13T18:50:37,
bank_000208,009,彰化銀行,TW,TWD,2025-11-28T09:04:45,
bank_000209,009,彰化銀行,JP,TWD,2025-07-13T07:32:19,
bank_000210,009,彰化銀行,TW,TWD,2025-12-25T16:09:34,
bank_000211,008,華南銀行,TW,TWD,2025-09-13T10:14:24,
bank_000212,700,中華郵政,TW,TWD,2026-01-01T14:22:51,
bank_000213,005,土地銀行,TW,TWD,2025-10-16T08:58:53,
bank_000214,005,土地銀行,TW,TWD,2025-09-17T13:16:13,
bank_000215,006,合作金庫,GB,TWD,2025-11-19T18:28:42,
bank_000216,004,臺灣銀行,GB,TWD,2025-10-04T23:12:07,
bank_000217,008,華南銀行,TW,TWD,2025-07-18T20:27:38,
bank_000218,005,土地銀行,TW,TWD,2025-10-22T12:46:32,
bank_000219,009,彰化銀行,TW,TWD,2025-12-31T12:14:21,
bank_000220,006,合作金庫,TW,TWD,2025-09-27T17:23:47,
bank_000221,700,中華郵政,AE,TWD,2025-11-22T22:22:57,
bank_000222,700,中華郵政,AE,TWD,2025-07-22T15:59:32,
bank_000223,009,彰化銀行,TW,TWD,2025-08-08T17:03:41,
bank_000224,004,臺灣銀行,TW,TWD,2025-12-18T15:23:20,
bank_000225,008,華南銀行,TW,TWD,2025-11-30T17:48:25,
bank_000226,006,合作金庫,TW,TWD,2025-09-06T20:09:40,
bank_000227,005,土地銀行,TW,TWD,2025-11-07T07:14:06,
bank_000228,008,華南銀行,TW,TWD,2025-10-11T10:33:36,
bank_000229,008,華南銀行,TW,TWD,2025-07-09T14:08:58,
bank_000230,006,合作金庫,TW,TWD,2025-09-18T17:54:35,
bank_000231,009,彰化銀行,TW,TWD,2025-11-02T13:28:50,
bank_000232,004,臺灣銀行,TW,TWD,2025-10-08T12:17:06,
bank_000233,009,彰化銀行,TW,TWD,2025-08-15T11:13:38,
bank_000234,013,國泰世華,TW,TWD,2025-10-27T20:18:23,
bank_000235,812,台新銀行,TW,TWD,2025-09-09T02:48:56,
bank_000236,005,土地銀行,TW,TWD,2025-09-17T15:25:54,
bank_000237,005,土地銀行,TW,TWD,2025-10-02T16:34:57,
bank_000238,013,國泰世華,TW,TWD,2025-10-23T01:03:13,
bank_000239,700,中華郵政,TW,TWD,2025-10-03T22:24:52,
bank_000240,013,國泰世華,TW,TWD,2025-11-20T17:21:07,
bank_000241,004,臺灣銀行,AE,TWD,2025-12-22T14:13:14,
bank_000242,700,中華郵政,TW,TWD,2025-07-18T22:27:08,
bank_000243,013,國泰世華,TW,TWD,2025-11-14T08:06:45,
bank_000244,700,中華郵政,TW,TWD,2025-12-12T22:10:20,
bank_000245,006,合作金庫,TW,TWD,2025-07-28T09:58:53,
bank_000246,004,臺灣銀行,TW,TWD,2025-11-14T12:13:55,
bank_000247,700,中華郵政,TW,TWD,2025-10-22T13:23:57,
bank_000248,004,臺灣銀行,TW,TWD,2025-11-12T14:18:38,
bank_000249,005,土地銀行,TW,TWD,2025-11-25T15:56:51,
bank_000250,812,台新銀行,TW,TWD,2025-12-08T09:44:29,
bank_000251,005,土地銀行,TW,TWD,2025-07-12T17:00:08,
bank_000252,006,合作金庫,US,TWD,2025-12-01T21:40:28,
bank_000253,013,國泰世華,TW,TWD,2025-09-22T23:09:54,
bank_000254,005,土地銀行,TW,TWD,2025-11-22T10:13:09,
bank_000255,013,國泰世華,TW,TWD,2025-10-29T07:42:30,
bank_000256,005,土地銀行,TW,TWD,2025-08-17T18:38:22,
bank_000257,006,合作金庫,TW,TWD,2025-10-04T12:36:47,
bank_000258,700,中華郵政,TW,TWD,2025-12-15T09:56:40,
bank_000259,006,合作金庫,TW,TWD,2025-09-20T11:51:18,
bank_000260,005,土地銀行,TW,TWD,2025-07-18T11:27:22,
bank_000261,700,中華郵政,TW,TWD,2025-12-25T22:08:43,
bank_000262,009,彰化銀行,TW,TWD,2025-09-21T10:34:11,
bank_000263,005,土地銀行,TW,TWD,2025-09-28T17:18:36,
bank_000264,004,臺灣銀行,TW,TWD,2025-12-31T12:35:47,
bank_000265,008,華南銀行,TW,TWD,2025-11-03T13:42:06,
bank_000266,812,台新銀行,AE,TWD,2025-08-09T17:42:19,
bank_000267,006,合作金庫,AE,TWD,2025-11-29T22:49:42,
bank_000268,013,國泰世華,AE,TWD,2025-12-01T14:04:02,
bank_000269,700,中華郵政,TW,TWD,2025-11-17T19:05:37,
bank_000270,009,彰化銀行,TW,TWD,2025-09-07T13:04:55,
bank_000271,005,土地銀行,JP,TWD,2025-11-26T23:53:48,
bank_000272,005,土地銀行,JP,TWD,2025-11-23T12:17:46,
bank_000273,004,臺灣銀行,TW,TWD,2025-09-06T18:03:08,
bank_000274,004,臺灣銀行,TW,TWD,2025-10-01T23:39:31,
bank_000275,700,中華郵政,US,TWD,2025-10-26T08:24:11,
bank_000276,004,臺灣銀行,US,TWD,2025-11-20T18:58:38,
bank_000277,009,彰化銀行,TW,TWD,2025-12-20T16:51:49,
bank_000278,013,國泰世華,TW,TWD,2025-09-10T21:29:01,
bank_000279,013,國泰世華,TW,TWD,2025-08-01T10:07:32,
bank_000280,700,中華郵政,TW,TWD,2025-07-23T13:09:01,
bank_000281,005,土地銀行,TW,TWD,2025-07-24T01:36:32,
bank_000282,005,土地銀行,TW,TWD,2025-11-17T22:30:42,
bank_000283,700,中華郵政,TW,TWD,2025-11-11T04:31:40,
bank_000284,005,土地銀行,TW,TWD,2025-10-20T15:45:59,
bank_000285,700,中華郵政,TW,TWD,2025-12-13T17:27:18,
bank_000286,005,土地銀行,TW,TWD,2025-08-12T22:37:23,
