link_id,user_id,bank_account_id,is_primary,linked_at
ubl_000087,usr_000062,bank_000087,0,2025-12-13T19:33:34
ubl_000088,usr_000063,bank_000088,1,2025-12-17T18:05:07
ubl_000089,usr_000063,bank_000089,0,2025-12-28T12:24:35
ubl_000090,usr_000064,bank_000090,1,2025-12-13T07:42:36
ubl_000091,usr_000064,bank_000091,0,2025-12-17T09:39:42
ubl_000092,usr_000065,bank_000092,1,2025-12-16T14:33:46
ubl_000093,usr_000066,bank_000093,1,2026-01-01T08:40:29
ubl_000094,usr_000066,bank_000094,0,2025-12-13T20:36:46
ubl_000095,usr_000067,bank_000095,1,2026-01-01T23:59:00
ubl_000096,usr_000068,bank_000096,1,2025-12-21T12:45:48
ubl_000097,usr_000069,bank_000097,1,2025-12-21T14:37:26
ubl_000098,usr_000069,bank_000098,0,2025-12-14T17:44:37
ubl_000099,usr_000070,bank_000099,1,2025-12-22T17:58:43
ubl_000100,usr_000070,bank_000100,0,2025-12-12T15:25:54
ubl_000101,usr_000071,bank_000101,1,2026-01-01T21:57:50
ubl_000102,usr_000072,bank_000102,1,2025-12-14T15:05:15
ubl_000103,usr_000072,bank_000103,0,2026-01-01T15:19:39
ubl_000104,usr_000073,bank_000104,1,2025-12-20T15:17:17
ubl_000105,usr_000074,bank_000105,1,2025-12-30T20:03:41
ubl_000106,usr_000074,bank_000106,0,2025-12-21T17:59:34
ubl_000107,usr_000075,bank_000107,1,2026-01-01T23:59:00
ubl_000108,usr_000076,bank_000108,1,2025-12-17T23:11:16
ubl_000109,usr_000077,bank_000109,1,2025-12-27T07:59:02
ubl_000110,usr_000077,bank_000110,0,2025-12-30T10:30:27
ubl_000111,usr_000078,bank_000111,1,2025-12-30T14:04:50
ubl_000112,usr_000078,bank_000112,0,2025-12-12T07:21:50
ubl_000113,usr_000079,bank_000113,1,2025-12-15T08:04:51
ubl_000114,usr_000080,bank_000114,1,2025-12-12T07:45:41
ubl_000115,usr_000080,bank_000115,0,2025-12-18T09:33:28
ubl_000116,usr_000081,bank_000116,1,2025-12-27T12:42:59
ubl_000117,usr_000082,bank_000117,1,2025-12-25T21:57:14
ubl_000118,usr_000083,bank_000118,1,2025-12-19T14:37:14
ubl_000119,usr_000084,bank_000119,1,2025-12-21T10:54:36
ubl_000120,usr_000085,bank_000120,1,2025-12-28T02:56:03
ubl_000121,usr_000086,bank_000121,1,2025-12-14T14:05:05
ubl_000122,usr_000087,bank_000122,1,2025-12-21T09:14:30
ubl_000123,usr_000087,bank_000123,0,2025-12-21T12:39:59
ubl_000124,usr_000088,bank_000124,1,2025-12-30T21:21:44
ubl_000125,usr_000088,bank_000125,0,2025-12-15T14:39:53
ubl_000126,usr_000089,bank_000126,1,2025-12-23T14:55:35
ubl_000127,usr_000089,bank_000127,0,2025-12-26T17:46:57
ubl_000128,usr_000090,bank_000128,1,2025-12-23T15:27:55
ubl_000129,usr_000091,bank_000129,1,2025-12-30T12:00:08
ubl_000130,usr_000091,bank_000130,0,2025-12-17T08:32:14
ubl_000131,usr_000092,bank_000131,1,2025-12-13T11:50:42
ubl_000132,usr_000093,bank_000132,1,2025-12-30T16:06:11
ubl_000133,usr_000094,bank_000133,1,2025-12-16T16:37:06
ubl_000134,usr_000094,bank_000134,0,2025-12-31T21:07:14
ubl_000135,usr_000095,bank_000135,1,2025-12-28T13:51:55
ubl_000136,usr_000095,bank_000136,0,2025-12-22T21:29:02
ubl_000137,usr_000096,bank_000137,1,2025-12-17T09:02:29
ubl_000138,usr_000096,bank_000138,0,2025-12-27T13:24:36
ubl_000139,usr_000096,bank_000139,0,2026-01-01T23:59:00
ubl_000140,usr_000097,bank_000140,1,2025-12-21T13:27:42
ubl_000141,usr_000097,bank_000141,0,2025-12-26T22:11:56
ubl_000142,usr_000098,bank_000142,1,2025-12-29T03:41:57
ubl_000143,usr_000099,bank_000143,1,2025-12-30T04:16:31
ubl_000144,usr_000100,bank_000144,1,2025-12-16T16:23:52
ubl_000145,usr_000101,bank_000145,1,2025-12-22T18:52:10
ubl_000146,usr_000101,bank_000146,0,2025-12-29T21:44:01
ubl_000147,usr_000102,bank_000147,1,2025-12-18T09:11:25
ubl_000148,usr_000103,bank_000148,1,2026-01-01T23:59:00
ubl_000149,usr_000104,bank_000149,1,2025-12-27T20:47:23
ubl_000150,usr_000104,bank_000150,0,2025-12-20T14:57:10
ubl_000151,usr_000104,bank_000151,0,2026-01-01T23:59:00
ubl_000152,usr_000105,bank_000152,1,2026-01-01T23:59:00
ubl_000153,usr_000105,bank_000153,0,2026-01-01T23:59:00
ubl_000154,usr_000106,bank_000154,1,2026-01-01T09:31:51
ubl_000155,usr_000106,bank_000155,0,2026-01-01T23:59:00
ubl_000156,usr_000107,bank_000156,1,2025-12-28T11:29:42
ubl_000157,usr_000108,bank_000157,1,2025-12-27T17:39:23
ubl_000158,usr_000109,bank_000158,1,2025-12-26T03:01:55
ubl_000159,usr_000110,bank_000159,1,2025-12-15T16:22:28
ubl_000160,usr_000111,bank_000160,1,2025-12-15T04:39:50
ubl_000161,usr_000111,bank_000161,0,2025-12-15T20:10:46
ubl_000162,usr_000111,bank_000162,0,2025-12-15T09:21:52
ubl_000163,usr_000112,bank_000163,1,2025-12-16T23:51:33
ubl_000164,usr_000113,bank_000164,1,2025-12-29T15:41:28
ubl_000165,usr_000113,bank_000165,0,2025-12-14T09:24:46
ubl_000166,usr_000114,bank_000166,1,2025-12-22T04:36:45
ubl_000167,usr_000115,bank_000167,1,2025-12-17T08:31:45
ubl_000168,usr_000116,bank_000168,1,2025-12-18T16:31:00
ubl_000169,usr_000117,bank_000169,1,2025-12-20T17:10:45
ubl_000170,usr_000118,bank_000170,1,2025-12-30T07:21:27
ubl_000171,usr_000119,bank_000171,1,2025-12-13T17:38:37
ubl_000172,usr_000120,bank_000172,1,2025-12-29T04:28:02
ubl_000173,usr_000121,bank_000173,1,2025-12-26T16:20:21
ubl_000174,usr_000122,bank_000174,1,2025-12-19T14:23:02
ubl_000175,usr_000122,bank_000175,0,2025-12-12T17:40:25
ubl_000176,usr_000123,bank_000176,1,2025-12-25T21:17:07
ubl_000177,usr_000124,bank_000177,1,2025-12-31T17:06:40
ubl_000178,usr_000125,bank_000178,1,2025-12-18T19:40:32
ubl_000179,usr_000126,bank_000179,1,2025-12-13T12:12:40
ubl_000180,usr_000127,bank_000180,1,2025-12-23T09:01:35
ubl_000181,usr_000128,bank_000181,1,2025-12-16T11:40:50
ubl_000182,usr_000128,bank_000182,0,2025-12-18T21:50:42
ubl_000183,usr_000128,bank_000183,0,2025-12-28T15:29:11
ubl_000184,usr_000129,bank_000184,1,2025-12-24T10:14:16
ubl_000185,usr_000130,bank_000185,1,2025-12-18T16:26:13
ubl_000186,usr_000131,bank_000186,1,2026-01-01T23:59:00
ubl_000187,usr_000132,bank_000187,1,2025-12-19T15:56:31
ubl_000188,usr_000133,bank_000188,1,2025-12-14T23:57:13
ubl_000189,usr_000134,bank_000189,1,2025-12-14T08:45:28
ubl_000190,usr_000135,bank_000190,1,2025-12-12T10:49:12
ubl_000191,usr_000135,bank_000191,0,2025-12-25T07:21:52
ubl_000192,usr_000136,bank_000192,1,2025-12-27T07:38:58
ubl_000193,usr_000137,bank_000193,1,2026-01-01T23:59:00
ubl_000194,usr_000138,bank_000194,1,2026-01-01T17:50:30
ubl_000195,usr_000139,bank_000195,1,2025-12-21T15:04:26
ubl_000196,usr_000140,bank_000196,1,2025-12-14T09:52:09
ubl_000197,usr_000140,bank_000197,0,2025-12-12T03:00:06
ubl_000198,usr_000141,bank_000198,1,2025-12-14T15:15:30
ubl_000199,usr_000142,bank_000199,1,2025-12-23T18:00:29
ubl_000200,usr_000143,bank_000200,1,2025-12-16T11:19:53
ubl_000201,usr_000143,bank_000201,0,2025-12-29T12:10:48
ubl_000202,usr_000144,bank_000202,1,2025-12-24T17:35:54
ubl_000203,usr_000145,bank_000203,1,2025-12-24T10:20:09
ubl_000204,usr_000145,bank_000204,0,2025-12-21T07:38:20
ubl_000205,usr_000146,bank_000205,1,2025-12-29T12:20:48
ubl_000206,usr_000147,bank_000206,1,2025-12-15T02:37:27
ubl_000207,usr_000148,bank_000207,1,2025-12-17T16:44:27
ubl_000208,usr_000148,bank_000208,0,2025-12-29T17:44:01
ubl_000209,usr_000149,bank_000209,1,2025-12-23T01:27:42
ubl_000210,usr_000150,bank_000210,1,2025-12-18T09:40:44
ubl_000211,usr_000151,bank_000211,1,2025-12-15T18:11:33
ubl_000212,usr_000152,bank_000212,1,2025-12-26T13:27:33
ubl_000213,usr_000153,bank_000213,1,2025-12-12T23:34:47
ubl_000214,usr_000154,bank_000214,1,2025-12-12T22:25:13
ubl_000215,usr_000155,bank_000215,1,2025-12-26T09:47:27
ubl_000216,usr_000155,bank_000216,0,2025-12-18T12:25:26
ubl_000217,usr_000156,bank_000217,1,2025-12-12T13:18:31
ubl_000218,usr_000156,bank_000218,0,2025-12-17T17:07:55
ubl_000219,usr_000157,bank_000219,1,2025-12-25T15:27:41
ubl_000220,usr_000158,bank_000220,1,2025-12-30T13:15:41
ubl_000221,usr_000159,bank_000221,1,2025-12-23T16:07:58
ubl_000222,usr_000159,bank_000222,0,2025-12-12T09:44:08
ubl_000223,usr_000160,bank_000223,1,2025-12-19T01:34:07
ubl_000224,usr_000160,bank_000224,0,2025-12-14T04:16:46
ubl_000225,usr_000161,bank_000225,1,2025-12-16T16:46:27
ubl_000226,usr_000162,bank_000226,1,2025-12-31T07:50:06
ubl_000227,usr_000163,bank_000227,1,2025-12-21T15:21:07
ubl_000228,usr_000164,bank_000228,1,2025-12-19T19:23:00
ubl_000229,usr_000164,bank_000229,0,2025-12-15T09:23:54
ubl_000230,usr_000164,bank_000230,0,2025-12-25T17:14:03
ubl_000231,usr_000165,bank_000231,1,2026-01-01T20:07:09
ubl_000232,usr_000166,bank_000232,1,2025-12-15T09:01:15
ubl_000233,usr_000166,bank_000233,0,2025-12-12T20:12:35
ubl_000234,usr_000167,bank_000234,1,2025-12-31T21:02:57
ubl_000235,usr_000168,bank_000235,1,2025-12-26T12:07:36
ubl_000236,usr_000169,bank_000236,1,2025-12-14T17:29:42
ubl_000237,usr_000169,bank_000237,0,2025-12-26T08:46:06
ubl_000238,usr_000170,bank_000238,1,2025-12-12T03:17:16
ubl_000239,usr_000171,bank_000239,1,2025-12-12T15:12:04
ubl_000240,usr_000172,bank_000240,1,2025-12-17T13:11:35
ubl_000241,usr_000173,bank_000241,1,2025-12-26T11:12:54
ubl_000242,usr_000174,bank_000242,1,2026-01-01T16:11:25
ubl_000243,usr_000174,bank_000243,0,2025-12-16T16:36:50
ubl_000244,usr_000174,bank_000244,0,2025-12-18T07:27:00
ubl_000245,usr_000175,bank_000245,1,2025-12-18T14:50:01
ubl_000246,usr_000176,bank_000246,1,2025-12-23T08:01:20
ubl_000247,usr_000177,bank_000247,1,2026-01-01T21:10:56
ubl_000248,usr_000177,bank_000248,0,2026-01-01T04:22:25
ubl_000249,usr_000178,bank_000249,1,2026-01-01T23:59:00
ubl_000250,usr_000179,bank_000250,1,2025-12-27T18:53:23
ubl_000251,usr_000179,bank_000251,0,2025-12-15T03:14:10
ubl_000252,usr_000180,bank_000252,1,2026-01-01T23:59:00
ubl_000253,usr_000181,bank_000253,1,2025-12-28T08:14:58
ubl_000254,usr_000182,bank_000254,1,2025-12-24T15:21:03
ubl_000255,usr_000183,bank_000255,1,2025-12-25T12:16:56
ubl_000256,usr_000183,bank_000256,0,2025-12-27T14:55:15
ubl_000257,usr_000184,bank_000257,1,2025-12-25T16:05:12
ubl_000258,usr_000184,bank_000258,0,2026-01-01T23:59:00
ubl_000259,usr_000185,bank_000259,1,2025-12-12T12:18:52
ubl_000260,usr_000185,bank_000260,0,2026-01-01T23:59:00
ubl_000261,usr_000186,bank_000261,1,2025-12-18T14:35:12
ubl_000262,usr_000186,bank_000262,0,2025-12-24T21:06:08
ubl_000263,usr_000187,bank_000263,1,2025-12-27T18:07:47
ubl_000264,usr_000187,bank_000264,0,2025-12-27T08:19:40
ubl_000265,usr_000188,bank_000265,1,2025-12-30T16:17:25
ubl_000266,usr_000189,bank_000266,1,2025-12-24T10:24:30
ubl_000267,usr_000189,bank_000267,0,2025-12-28T16:20:37
ubl_000268,usr_000189,bank_000268,0,2025-12-12T19:14:06
ubl_000269,usr_000190,bank_000269,1,2025-12-12T16:06:13
ubl_000270,usr_000191,bank_000270,1,2025-12-17T00:34:36
ubl_000271,usr_000192,bank_000271,1,2025-12-13T11:26:38
ubl_000272,usr_000192,bank_000272,0,2025-12-13T10:32:14
ubl_000273,usr_000193,bank_000273,1,2025-12-26T11:20:22
ubl_000274,usr_000194,bank_000274,1,2025-12-20T08:53:33
ubl_000275,usr_000195,bank_000275,1,2026-01-01T23:59:00
ubl_000276,usr_000195,bank_000276,0,2025-12-22T20:51:48
ubl_000277,usr_000196,bank_000277,1,2025-12-31T09:36:42
ubl_000278,usr_000196,bank_000278,0,2025-12-26T07:22:30
ubl_000279,usr_000197,bank_000279,1,2025-12-14T13:36:23
ubl_000280,usr_000197,bank_000280,0,2025-12-22T13:21:26
ubl_000281,usr_000198,bank_000281,1,2025-12-30T16:26:34
ubl_000282,usr_000198,bank_000282,0,2025-12-28T13:17:12
ubl_000283,usr_000199,bank_000283,1,2025-12-18T21:00:10
ubl_000284,usr_000199,bank_000284,0,2025-12-27T19:55:02
ubl_000285,usr_000200,bank_000285,1,2025-12-27T23:11:46
ubl_000286,usr_000200,bank_000286,0,2026-01-01T23:59:00
