edge_id,occurred_at,src_type,src_id,relation_type,dst_type,dst_id,amount_twd_equiv,asset,scenario_id
edge_000538,2025-12-12T22:25:13,user,usr_000154,USES_BANK_ACCOUNT,bank_account,bank_000214,,,
edge_000188,2025-12-12T22:39:58,user,usr_000113,USES_DEVICE,device,dev_000188,,,
edge_000537,2025-12-12T23:34:47,user,usr_000153,USES_BANK_ACCOUNT,bank_account,bank_000213,,,
edge_000016,2025-12-13T01:45:17,user,usr_000008,USES_DEVICE,device,dev_000016,,,
edge_000414,2025-12-13T07:42:36,user,usr_000064,USES_BANK_ACCOUNT,bank_account,bank_000090,,,
edge_000042,2025-12-13T08:42:41,user,usr_000026,USES_DEVICE,device,dev_000042,,,
edge_000303,2025-12-13T09:53:41,user,usr_000187,USES_DEVICE,device,dev_000303,,,
edge_000596,2025-12-13T10:32:14,user,usr_000192,USES_BANK_ACCOUNT,bank_account,bank_000272,,,
edge_000195,2025-12-13T11:20:09,user,usr_000119,USES_DEVICE,device,dev_000195,,,
edge_000595,2025-12-13T11:26:38,user,usr_000192,USES_BANK_ACCOUNT,bank_account,bank_000271,,,
edge_000455,2025-12-13T11:50:42,user,usr_000092,USES_BANK_ACCOUNT,bank_account,bank_000131,,,
edge_000503,2025-12-13T12:12:40,user,usr_000126,USES_BANK_ACCOUNT,bank_account,bank_000179,,,
edge_000272,2025-12-13T12:43:29,user,usr_000167,USES_DEVICE,device,dev_000272,,,
edge_000395,2025-12-13T14:35:18,user,usr_000052,USES_BANK_ACCOUNT,bank_account,bank_000071,,,
edge_000182,2025-12-13T14:36:20,user,usr_000110,USES_DEVICE,device,dev_000182,,,
edge_000148,2025-12-13T15:40:59,user,usr_000091,USES_DEVICE,device,dev_000148,,,
edge_000121,2025-12-13T16:23:07,user,usr_000072,USES_DEVICE,device,dev_000121,,,
edge_000225,2025-12-13T16:38:28,user,usr_000137,USES_DEVICE,device,dev_000225,,,
edge_000495,2025-12-13T17:38:37,user,usr_000119,USES_BANK_ACCOUNT,bank_account,bank_000171,,,
edge_000110,2025-12-13T18:28:32,user,usr_000067,USES_DEVICE,device,dev_000110,,,
edge_000394,2025-12-13T19:07:15,user,usr_000051,USES_BANK_ACCOUNT,bank_account,bank_000070,,,
edge_000215,2025-12-13T19:21:36,user,usr_000131,USES_DEVICE,device,dev_000215,,,
edge_000411,2025-12-13T19:33:34,user,usr_000062,USES_BANK_ACCOUNT,bank_account,bank_000087,,,
edge_000401,2025-12-13T20:22:56,user,usr_000056,USES_BANK_ACCOUNT,bank_account,bank_000077,,,
edge_000418,2025-12-13T20:36:46,user,usr_000066,USES_BANK_ACCOUNT,bank_account,bank_000094,,,
edge_000340,2025-12-13T21:33:22,user,usr_000011,USES_BANK_ACCOUNT,bank_account,bank_000016,,,
edge_000037,2025-12-13T22:37:39,user,usr_000022,USES_DEVICE,device,dev_000037,,,
edge_000221,2025-12-13T22:41:42,user,usr_000135,USES_DEVICE,device,dev_000221,,,
edge_000089,2025-12-14T04:06:06,user,usr_000054,USES_DEVICE,device,dev_000089,,,
edge_000548,2025-12-14T04:16:46,user,usr_000160,USES_BANK_ACCOUNT,bank_account,bank_000224,,,
edge_000242,2025-12-14T08:01:37,user,usr_000148,USES_DEVICE,device,dev_000242,,,
edge_000513,2025-12-14T08:45:28,user,usr_000134,USES_BANK_ACCOUNT,bank_account,bank_000189,,,
edge_000489,2025-12-14T09:24:46,user,usr_000113,USES_BANK_ACCOUNT,bank_account,bank_000165,,,
edge_000520,2025-12-14T09:52:09,user,usr_000140,USES_BANK_ACCOUNT,bank_account,bank_000196,,,
edge_000029,2025-12-14T10:35:20,user,usr_000017,USES_DEVICE,device,dev_000029,,,
edge_000038,2025-12-14T10:40:27,user,usr_000023,USES_DEVICE,device,dev_000038,,,
edge_000360,2025-12-14T13:11:07,user,usr_000026,USES_BANK_ACCOUNT,bank_account,bank_000036,,,
edge_000603,2025-12-14T13:36:23,user,usr_000197,USES_BANK_ACCOUNT,bank_account,bank_000279,,,
edge_000445,2025-12-14T14:05:05,user,usr_000086,USES_BANK_ACCOUNT,bank_account,bank_000121,,,
edge_000026,2025-12-14T14:10:46,user,usr_000014,USES_DEVICE,device,dev_000026,,,
edge_000426,2025-12-14T15:05:15,user,usr_000072,USES_BANK_ACCOUNT,bank_account,bank_000102,,,
edge_000522,2025-12-14T15:15:30,user,usr_000141,USES_BANK_ACCOUNT,bank_account,bank_000198,,,
edge_000379,2025-12-14T15:26:16,user,usr_000040,USES_BANK_ACCOUNT,bank_account,bank_000055,,,
edge_000310,2025-12-14T16:24:55,user,usr_000191,USES_DEVICE,device,dev_000310,,,
edge_000560,2025-12-14T17:29:42,user,usr_000169,USES_BANK_ACCOUNT,bank_account,bank_000236,,,
edge_000363,2025-12-14T17:36:28,user,usr_000028,USES_BANK_ACCOUNT,bank_account,bank_000039,,,
edge_000422,2025-12-14T17:44:37,user,usr_000069,USES_BANK_ACCOUNT,bank_account,bank_000098,,,
edge_000019,2025-12-14T20:07:02,user,usr_000010,USES_DEVICE,device,dev_000019,,,
edge_000324,2025-12-14T20:28:58,user,usr_000200,USES_DEVICE,device,dev_000324,,,
edge_000407,2025-12-14T22:43:39,user,usr_000060,USES_BANK_ACCOUNT,bank_account,bank_000083,,,
edge_000512,2025-12-14T23:57:13,user,usr_000133,USES_BANK_ACCOUNT,bank_account,bank_000188,,,
edge_000530,2025-12-15T02:37:27,user,usr_000147,USES_BANK_ACCOUNT,bank_account,bank_000206,,,
edge_000575,2025-12-15T03:14:10,user,usr_000179,USES_BANK_ACCOUNT,bank_account,bank_000251,,,
edge_000484,2025-12-15T04:39:50,user,usr_000111,USES_BANK_ACCOUNT,bank_account,bank_000160,,,
edge_000397,2025-12-15T07:02:53,user,usr_000053,USES_BANK_ACCOUNT,bank_account,bank_000073,,,
edge_000437,2025-12-15T08:04:51,user,usr_000079,USES_BANK_ACCOUNT,bank_account,bank_000113,,,
edge_000556,2025-12-15T09:01:15,user,usr_000166,USES_BANK_ACCOUNT,bank_account,bank_000232,,,
edge_000486,2025-12-15T09:21:52,user,usr_000111,USES_BANK_ACCOUNT,bank_account,bank_000162,,,
edge_000553,2025-12-15T09:23:54,user,usr_000164,USES_BANK_ACCOUNT,bank_account,bank_000229,,,
edge_000357,2025-12-15T14:07:35,user,usr_000024,USES_BANK_ACCOUNT,bank_account,bank_000033,,,
edge_000449,2025-12-15T14:39:53,user,usr_000088,USES_BANK_ACCOUNT,bank_account,bank_000125,,,
edge_000071,2025-12-15T15:18:21,user,usr_000043,USES_DEVICE,device,dev_000071,,,
edge_000281,2025-12-15T15:37:51,user,usr_000173,USES_DEVICE,device,dev_000281,,,
edge_000313,2025-12-15T15:57:23,user,usr_000193,USES_DEVICE,device,dev_000313,,,
edge_000250,2025-12-15T16:15:53,user,usr_000154,USES_DEVICE,device,dev_000250,,,
edge_000483,2025-12-15T16:22:28,user,usr_000110,USES_BANK_ACCOUNT,bank_account,bank_000159,,,
edge_000125,2025-12-15T18:05:54,user,usr_000076,USES_DEVICE,device,dev_000125,,,
edge_000535,2025-12-15T18:11:33,user,usr_000151,USES_BANK_ACCOUNT,bank_account,bank_000211,,,
edge_000333,2025-12-15T18:21:51,user,usr_000006,USES_BANK_ACCOUNT,bank_account,bank_000009,,,
edge_000326,2025-12-15T19:13:51,user,usr_000001,USES_BANK_ACCOUNT,bank_account,bank_000002,,,
edge_000485,2025-12-15T20:10:46,user,usr_000111,USES_BANK_ACCOUNT,bank_account,bank_000161,,,
edge_000236,2025-12-15T20:38:12,user,usr_000143,USES_DEVICE,device,dev_000236,,,
edge_000025,2025-12-15T22:41:48,user,usr_000014,USES_DEVICE,device,dev_000025,,,
edge_000359,2025-12-15T23:31:09,user,usr_000025,USES_BANK_ACCOUNT,bank_account,bank_000035,,,
edge_000261,2025-12-15T23:59:02,user,usr_000162,USES_DEVICE,device,dev_000261,,,
edge_000399,2025-12-16T02:00:19,user,usr_000055,USES_BANK_ACCOUNT,bank_account,bank_000075,,,
edge_000113,2025-12-16T02:36:15,user,usr_000068,USES_DEVICE,device,dev_000113,,,
edge_000120,2025-12-16T07:09:46,user,usr_000071,USES_DEVICE,device,dev_000120,,,
edge_000253,2025-12-16T07:49:43,user,usr_000156,USES_DEVICE,device,dev_000253,,,
edge_000156,2025-12-16T07:53:04,user,usr_000095,USES_DEVICE,device,dev_000156,,,
edge_000056,2025-12-16T09:02:05,user,usr_000034,USES_DEVICE,device,dev_000056,,,
edge_000365,2025-12-16T09:53:44,user,usr_000030,USES_BANK_ACCOUNT,bank_account,bank_000041,,,
edge_000064,2025-12-16T09:59:11,user,usr_000039,USES_DEVICE,device,dev_000064,,,
edge_000393,2025-12-16T10:04:34,user,usr_000050,USES_BANK_ACCOUNT,bank_account,bank_000069,,,
edge_000524,2025-12-16T11:19:53,user,usr_000143,USES_BANK_ACCOUNT,bank_account,bank_000200,,,
edge_000505,2025-12-16T11:40:50,user,usr_000128,USES_BANK_ACCOUNT,bank_account,bank_000181,,,
edge_000416,2025-12-16T14:33:46,user,usr_000065,USES_BANK_ACCOUNT,bank_account,bank_000092,,,
edge_000243,2025-12-16T16:10:05,user,usr_000149,USES_DEVICE,device,dev_000243,,,
edge_000468,2025-12-16T16:23:52,user,usr_000100,USES_BANK_ACCOUNT,bank_account,bank_000144,,,
edge_000307,2025-12-16T16:36:21,user,usr_000189,USES_DEVICE,device,dev_000307,,,
edge_000567,2025-12-16T16:36:50,user,usr_000174,USES_BANK_ACCOUNT,bank_account,bank_000243,,,
edge_000457,2025-12-16T16:37:06,user,usr_000094,USES_BANK_ACCOUNT,bank_account,bank_000133,,,
edge_000549,2025-12-16T16:46:27,user,usr_000161,USES_BANK_ACCOUNT,bank_account,bank_000225,,,
edge_000145,2025-12-16T17:24:18,user,usr_000090,USES_DEVICE,device,dev_000145,,,
edge_000005,2025-12-16T20:10:55,user,usr_000003,USES_DEVICE,device,dev_000005,,,
edge_000118,2025-12-16T21:34:18,user,usr_000070,USES_DEVICE,device,dev_000118,,,
edge_000403,2025-12-16T21:35:12,user,usr_000057,USES_BANK_ACCOUNT,bank_account,bank_000079,,,
edge_000123,2025-12-16T21:49:24,user,usr_000074,USES_DEVICE,device,dev_000123,,,
edge_000187,2025-12-16T21:58:26,user,usr_000112,USES_DEVICE,device,dev_000187,,,
edge_000186,2025-12-16T22:38:42,user,usr_000111,USES_DEVICE,device,dev_000186,,,
edge_000007,2025-12-16T22:43:28,user,usr_000004,USES_DEVICE,device,dev_000007,,,
edge_000342,2025-12-16T22:55:23,user,usr_000012,USES_BANK_ACCOUNT,bank_account,bank_000018,,,
edge_000487,2025-12-16T23:51:33,user,usr_000112,USES_BANK_ACCOUNT,bank_account,bank_000163,,,
edge_000594,2025-12-17T00:34:36,user,usr_000191,USES_BANK_ACCOUNT,bank_account,bank_000270,,,
edge_000273,2025-12-17T04:33:46,user,usr_000167,USES_DEVICE,device,dev_000273,,,
edge_000231,2025-12-17T07:41:45,user,usr_000140,USES_DEVICE,device,dev_000231,,,
edge_000305,2025-12-17T08:10:32,user,usr_000188,USES_DEVICE,device,dev_000305,,,
edge_000491,2025-12-17T08:31:45,user,usr_000115,USES_BANK_ACCOUNT,bank_account,bank_000167,,,
edge_000454,2025-12-17T08:32:14,user,usr_000091,USES_BANK_ACCOUNT,bank_account,bank_000130,,,
edge_000461,2025-12-17T09:02:29,user,usr_000096,USES_BANK_ACCOUNT,bank_account,bank_000137,,,
edge_000415,2025-12-17T09:39:42,user,usr_000064,USES_BANK_ACCOUNT,bank_account,bank_000091,,,
edge_000155,2025-12-17T10:43:06,user,usr_000094,USES_DEVICE,device,dev_000155,,,
edge_000381,2025-12-17T10:50:21,user,usr_000041,USES_BANK_ACCOUNT,bank_account,bank_000057,,,
edge_000022,2025-12-17T11:03:14,user,usr_000012,USES_DEVICE,device,dev_000022,,,
edge_000268,2025-12-17T12:47:33,user,usr_000165,USES_DEVICE,device,dev_000268,,,
edge_000564,2025-12-17T13:11:35,user,usr_000172,USES_BANK_ACCOUNT,bank_account,bank_000240,,,
edge_000183,2025-12-17T13:44:47,user,usr_000111,USES_DEVICE,device,dev_000183,,,
edge_000228,2025-12-17T14:19:29,user,usr_000139,USES_DEVICE,device,dev_000228,,,
edge_000122,2025-12-17T16:18:51,user,usr_000073,USES_DEVICE,device,dev_000122,,,
edge_000023,2025-12-17T16:44:18,user,usr_000013,USES_DEVICE,device,dev_000023,,,
edge_000531,2025-12-17T16:44:27,user,usr_000148,USES_BANK_ACCOUNT,bank_account,bank_000207,,,
edge_000542,2025-12-17T17:07:55,user,usr_000156,USES_BANK_ACCOUNT,bank_account,bank_000218,,,
edge_000024,2025-12-17T17:39:14,user,usr_000013,USES_DEVICE,device,dev_000024,,,
edge_000412,2025-12-17T18:05:07,user,usr_000063,USES_BANK_ACCOUNT,bank_account,bank_000088,,,
edge_000134,2025-12-17T19:56:18,user,usr_000083,USES_DEVICE,device,dev_000134,,,
edge_000232,2025-12-17T20:44:19,user,usr_000140,USES_DEVICE,device,dev_000232,,,
edge_000153,2025-12-17T22:00:46,user,usr_000093,USES_DEVICE,device,dev_000153,,,
edge_000087,2025-12-17T22:54:23,user,usr_000053,USES_DEVICE,device,dev_000087,,,
edge_000432,2025-12-17T23:11:16,user,usr_000076,USES_BANK_ACCOUNT,bank_account,bank_000108,,,
edge_000239,2025-12-17T23:25:19,user,usr_000146,USES_DEVICE,device,dev_000239,,,
edge_000174,2025-12-17T23:32:52,user,usr_000105,USES_DEVICE,device,dev_000174,,,
edge_000279,2025-12-18T04:00:23,user,usr_000172,USES_DEVICE,device,dev_000279,,,
edge_000244,2025-12-18T04:35:13,user,usr_000150,USES_DEVICE,device,dev_000244,,,
edge_000254,2025-12-18T07:24:26,user,usr_000157,USES_DEVICE,device,dev_000254,,,
edge_000568,2025-12-18T07:27:00,user,usr_000174,USES_BANK_ACCOUNT,bank_account,bank_000244,,,
edge_000332,2025-12-18T07:50:25,user,usr_000005,USES_BANK_ACCOUNT,bank_account,bank_000008,,,
edge_000373,2025-12-18T07:54:48,user,usr_000035,USES_BANK_ACCOUNT,bank_account,bank_000049,,,
edge_000409,2025-12-18T08:01:48,user,usr_000061,USES_BANK_ACCOUNT,bank_account,bank_000085,,,
edge_000027,2025-12-18T09:05:30,user,usr_000015,USES_DEVICE,device,dev_000027,,,
edge_000471,2025-12-18T09:11:25,user,usr_000102,USES_BANK_ACCOUNT,bank_account,bank_000147,,,
edge_000229,2025-12-18T09:31:25,user,usr_000139,USES_DEVICE,device,dev_000229,,,
edge_000439,2025-12-18T09:33:28,user,usr_000080,USES_BANK_ACCOUNT,bank_account,bank_000115,,,
edge_000534,2025-12-18T09:40:44,user,usr_000150,USES_BANK_ACCOUNT,bank_account,bank_000210,,,
edge_000220,2025-12-18T11:16:07,user,usr_000134,USES_DEVICE,device,dev_000220,,,
edge_000540,2025-12-18T12:25:26,user,usr_000155,USES_BANK_ACCOUNT,bank_account,bank_000216,,,
edge_000585,2025-12-18T14:35:12,user,usr_000186,USES_BANK_ACCOUNT,bank_account,bank_000261,,,
edge_000569,2025-12-18T14:50:01,user,usr_000175,USES_BANK_ACCOUNT,bank_account,bank_000245,,,
edge_000214,2025-12-18T15:37:50,user,usr_000130,USES_DEVICE,device,dev_000214,,,
edge_000353,2025-12-18T16:14:43,user,usr_000021,USES_BANK_ACCOUNT,bank_account,bank_000029,,,
edge_000509,2025-12-18T16:26:13,user,usr_000130,USES_BANK_ACCOUNT,bank_account,bank_000185,,,
edge_000492,2025-12-18T16:31:00,user,usr_000116,USES_BANK_ACCOUNT,bank_account,bank_000168,,,
edge_000194,2025-12-18T16:53:56,user,usr_000118,USES_DEVICE,device,dev_000194,,,
edge_000041,2025-12-18T17:16:53,user,usr_000025,USES_DEVICE,device,dev_000041,,,
edge_000223,2025-12-18T17:38:31,user,usr_000136,USES_DEVICE,device,dev_000223,,,
edge_000259,2025-12-18T19:20:17,user,usr_000161,USES_DEVICE,device,dev_000259,,,
edge_000502,2025-12-18T19:40:32,user,usr_000125,USES_BANK_ACCOUNT,bank_account,bank_000178,,,
edge_000607,2025-12-18T21:00:10,user,usr_000199,USES_BANK_ACCOUNT,bank_account,bank_000283,,,
edge_000506,2025-12-18T21:50:42,user,usr_000128,USES_BANK_ACCOUNT,bank_account,bank_000182,,,
edge_000547,2025-12-19T01:34:07,user,usr_000160,USES_BANK_ACCOUNT,bank_account,bank_000223,,,
edge_000176,2025-12-19T03:05:01,user,usr_000106,USES_DEVICE,device,dev_000176,,,
edge_000018,2025-12-19T03:32:03,user,usr_000009,USES_DEVICE,device,dev_000018,,,
edge_000146,2025-12-19T07:09:16,user,usr_000090,USES_DEVICE,device,dev_000146,,,
edge_000297,2025-12-19T07:10:11,user,usr_000183,USES_DEVICE,device,dev_000297,,,
edge_000377,2025-12-19T09:13:09,user,usr_000038,USES_BANK_ACCOUNT,bank_account,bank_000053,,,
edge_000135,2025-12-19T10:55:13,user,usr_000083,USES_DEVICE,device,dev_000135,,,
edge_000163,2025-12-19T11:09:12,user,usr_000098,USES_DEVICE,device,dev_000163,,,
edge_000206,2025-12-19T12:15:30,user,usr_000127,USES_DEVICE,device,dev_000206,,,
edge_000398,2025-12-19T12:35:47,user,usr_000054,USES_BANK_ACCOUNT,bank_account,bank_000074,,,
edge_000201,2025-12-19T13:19:04,user,usr_000124,USES_DEVICE,device,dev_000201,,,
edge_000138,2025-12-19T13:32:43,user,usr_000086,USES_DEVICE,device,dev_000138,,,
edge_000283,2025-12-19T14:12:39,user,usr_000174,USES_DEVICE,device,dev_000283,,,
edge_000498,2025-12-19T14:23:02,user,usr_000122,USES_BANK_ACCOUNT,bank_account,bank_000174,,,
edge_000442,2025-12-19T14:37:14,user,usr_000083,USES_BANK_ACCOUNT,bank_account,bank_000118,,,
edge_000511,2025-12-19T15:56:31,user,usr_000132,USES_BANK_ACCOUNT,bank_account,bank_000187,,,
edge_000260,2025-12-19T16:25:06,user,usr_000162,USES_DEVICE,device,dev_000260,,,
edge_000132,2025-12-19T16:42:13,user,usr_000081,USES_DEVICE,device,dev_000132,,,
edge_000036,2025-12-19T16:55:19,user,usr_000022,USES_DEVICE,device,dev_000036,,,
edge_000391,2025-12-19T17:58:39,user,usr_000049,USES_BANK_ACCOUNT,bank_account,bank_000067,,,
edge_000131,2025-12-19T18:08:06,user,usr_000080,USES_DEVICE,device,dev_000131,,,
edge_000552,2025-12-19T19:23:00,user,usr_000164,USES_BANK_ACCOUNT,bank_account,bank_000228,,,
edge_000275,2025-12-19T22:00:09,user,usr_000169,USES_DEVICE,device,dev_000275,,,
edge_000062,2025-12-19T22:43:10,user,usr_000037,USES_DEVICE,device,dev_000062,,,
edge_000402,2025-12-19T22:59:00,user,usr_000056,USES_BANK_ACCOUNT,bank_account,bank_000078,,,
edge_000368,2025-12-19T23:21:21,user,usr_000033,USES_BANK_ACCOUNT,bank_account,bank_000044,,,
edge_000203,2025-12-19T23:39:00,user,usr_000125,USES_DEVICE,device,dev_000203,,,
edge_000388,2025-12-19T23:44:47,user,usr_000047,USES_BANK_ACCOUNT,bank_account,bank_000064,,,
edge_000287,2025-12-20T00:37:50,user,usr_000177,USES_DEVICE,device,dev_000287,,,
edge_000598,2025-12-20T08:53:33,user,usr_000194,USES_BANK_ACCOUNT,bank_account,bank_000274,,,
edge_000296,2025-12-20T12:50:13,user,usr_000183,USES_DEVICE,device,dev_000296,,,
edge_000384,2025-12-20T12:53:15,user,usr_000044,USES_BANK_ACCOUNT,bank_account,bank_000060,,,
edge_000189,2025-12-20T13:07:03,user,usr_000114,USES_DEVICE,device,dev_000189,,,
edge_000202,2025-12-20T14:15:21,user,usr_000124,USES_DEVICE,device,dev_000202,,,
edge_000170,2025-12-20T14:24:08,user,usr_000103,USES_DEVICE,device,dev_000170,,,
edge_000091,2025-12-20T14:28:25,user,usr_000055,USES_DEVICE,device,dev_000091,,,
edge_000158,2025-12-20T14:39:43,user,usr_000096,USES_DEVICE,device,dev_000158,,,
edge_000109,2025-12-20T14:56:15,user,usr_000067,USES_DEVICE,device,dev_000109,,,
edge_000474,2025-12-20T14:57:10,user,usr_000104,USES_BANK_ACCOUNT,bank_account,bank_000150,,,
edge_000212,2025-12-20T15:08:54,user,usr_000130,USES_DEVICE,device,dev_000212,,,
edge_000428,2025-12-20T15:17:17,user,usr_000073,USES_BANK_ACCOUNT,bank_account,bank_000104,,,
edge_000315,2025-12-20T15:32:06,user,usr_000194,USES_DEVICE,device,dev_000315,,,
edge_000077,2025-12-20T16:06:28,user,usr_000046,USES_DEVICE,device,dev_000077,,,
edge_000493,2025-12-20T17:10:45,user,usr_000117,USES_BANK_ACCOUNT,bank_account,bank_000169,,,
edge_000074,2025-12-20T17:36:08,user,usr_000045,USES_DEVICE,device,dev_000074,,,
edge_000051,2025-12-20T17:49:55,user,usr_000032,USES_DEVICE,device,dev_000051,,,
edge_000179,2025-12-20T17:51:11,user,usr_000108,USES_DEVICE,device,dev_000179,,,
edge_000286,2025-12-20T19:38:01,user,usr_000176,USES_DEVICE,device,dev_000286,,,
edge_000382,2025-12-20T20:42:25,user,usr_000042,USES_BANK_ACCOUNT,bank_account,bank_000058,,,
edge_000288,2025-12-20T22:06:38,user,usr_000177,USES_DEVICE,device,dev_000288,,,
edge_000301,2025-12-20T22:19:11,user,usr_000186,USES_DEVICE,device,dev_000301,,,
edge_000400,2025-12-20T22:35:36,user,usr_000055,USES_BANK_ACCOUNT,bank_account,bank_000076,,,
edge_000264,2025-12-20T23:51:04,user,usr_000164,USES_DEVICE,device,dev_000264,,,
edge_000404,2025-12-21T07:19:28,user,usr_000058,USES_BANK_ACCOUNT,bank_account,bank_000080,,,
edge_000528,2025-12-21T07:38:20,user,usr_000145,USES_BANK_ACCOUNT,bank_account,bank_000204,,,
edge_000255,2025-12-21T07:43:35,user,usr_000158,USES_DEVICE,device,dev_000255,,,
edge_000151,2025-12-21T08:05:27,user,usr_000092,USES_DEVICE,device,dev_000151,,,
edge_000227,2025-12-21T08:15:27,user,usr_000138,USES_DEVICE,device,dev_000227,,,
edge_000446,2025-12-21T09:14:30,user,usr_000087,USES_BANK_ACCOUNT,bank_account,bank_000122,,,
edge_000094,2025-12-21T09:39:52,user,usr_000058,USES_DEVICE,device,dev_000094,,,
edge_000262,2025-12-21T10:09:00,user,usr_000163,USES_DEVICE,device,dev_000262,,,
edge_000443,2025-12-21T10:54:36,user,usr_000084,USES_BANK_ACCOUNT,bank_account,bank_000119,,,
edge_000323,2025-12-21T11:05:26,user,usr_000199,USES_DEVICE,device,dev_000323,,,
edge_000107,2025-12-21T11:19:19,user,usr_000066,USES_DEVICE,device,dev_000107,,,
edge_000140,2025-12-21T11:55:51,user,usr_000087,USES_DEVICE,device,dev_000140,,,
edge_000447,2025-12-21T12:39:59,user,usr_000087,USES_BANK_ACCOUNT,bank_account,bank_000123,,,
edge_000420,2025-12-21T12:45:48,user,usr_000068,USES_BANK_ACCOUNT,bank_account,bank_000096,,,
edge_000464,2025-12-21T13:27:42,user,usr_000097,USES_BANK_ACCOUNT,bank_account,bank_000140,,,
edge_000046,2025-12-21T13:44:06,user,usr_000029,USES_DEVICE,device,dev_000046,,,
edge_000196,2025-12-21T14:05:54,user,usr_000120,USES_DEVICE,device,dev_000196,,,
edge_000421,2025-12-21T14:37:26,user,usr_000069,USES_BANK_ACCOUNT,bank_account,bank_000097,,,
edge_000519,2025-12-21T15:04:26,user,usr_000139,USES_BANK_ACCOUNT,bank_account,bank_000195,,,
edge_000551,2025-12-21T15:21:07,user,usr_000163,USES_BANK_ACCOUNT,bank_account,bank_000227,,,
edge_000017,2025-12-21T17:07:05,user,usr_000009,USES_DEVICE,device,dev_000017,,,
edge_000192,2025-12-21T17:09:09,user,usr_000116,USES_DEVICE,device,dev_000192,,,
edge_000380,2025-12-21T17:45:25,user,usr_000041,USES_BANK_ACCOUNT,bank_account,bank_000056,,,
edge_000430,2025-12-21T17:59:34,user,usr_000074,USES_BANK_ACCOUNT,bank_account,bank_000106,,,
edge_000054,2025-12-21T19:20:32,user,usr_000034,USES_DEVICE,device,dev_000054,,,
edge_000334,2025-12-21T19:29:23,user,usr_000007,USES_BANK_ACCOUNT,bank_account,bank_000010,,,
edge_000181,2025-12-21T19:30:27,user,usr_000109,USES_DEVICE,device,dev_000181,,,
edge_000059,2025-12-21T19:36:36,user,usr_000036,USES_DEVICE,device,dev_000059,,,
edge_000154,2025-12-21T21:14:35,user,usr_000094,USES_DEVICE,device,dev_000154,,,
edge_000178,2025-12-21T22:27:18,user,usr_000107,USES_DEVICE,device,dev_000178,,,
edge_000331,2025-12-21T23:01:54,user,usr_000004,USES_BANK_ACCOUNT,bank_account,bank_000007,,,
edge_000490,2025-12-22T04:36:45,user,usr_000114,USES_BANK_ACCOUNT,bank_account,bank_000166,,,
edge_000093,2025-12-22T07:35:25,user,usr_000057,USES_DEVICE,device,dev_000093,,,
edge_000084,2025-12-22T07:47:59,user,usr_000051,USES_DEVICE,device,dev_000084,,,
edge_000343,2025-12-22T07:52:45,user,usr_000013,USES_BANK_ACCOUNT,bank_account,bank_000019,,,
edge_000222,2025-12-22T10:41:20,user,usr_000136,USES_DEVICE,device,dev_000222,,,
edge_000014,2025-12-22T11:36:23,user,usr_000007,USES_DEVICE,device,dev_000014,,,
